Getting repos in ODI org...
there are this many repos: 335
theodi/adapt-theme-idb,"IDB theme",2016-12-09 14:36:42 UTC,2016-12-09 14:37:59 UTC
theodi/bothan.js,"A node.js client library for Bothan - https://bothan.io",2016-12-12 09:31:09 UTC,2016-12-13 11:15:52 UTC
theodi/adapt-theme-coi,"Adapt theme for the Caribbean Open Data Initiative",2016-12-14 15:08:06 UTC,2016-12-14 15:08:39 UTC
theodi/csd.learndata.info,"Hosting for Caribbean school of data eLearning",2016-12-16 14:07:58 UTC,2016-12-16 14:10:59 UTC
theodi/adapt2docx,"Convert adapt2 elearning pages into docx for easy client review.",2017-01-05 11:54:11 UTC,2017-06-03 14:10:05 UTC
theodi/lloydsdemo.learndata.info,"Demo of modules for lloyds",2017-01-11 16:19:42 UTC,2018-06-21 09:08:51 UTC
theodi/adapt-theme-edsa,"Adapt eLearning theme for EDSA",2017-01-24 10:33:47 UTC,2017-01-24 11:11:35 UTC
theodi/adapt-theme-lloyds,"eLearning theme for Lloyds of London",2017-02-02 11:10:53 UTC,2018-05-04 07:27:35 UTC
theodi/ckan-search-frontend,"A frontend for CKAN searches, so that we can experiment with result display",2017-02-08 15:09:25 UTC,2017-02-08 15:18:20 UTC
theodi/sport.learndata.info,"SE modules test",2017-03-24 16:50:08 UTC,2017-03-24 16:52:50 UTC
